6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000014824	115	287	130	190	222	242	244	370	121	240
ENSG00000014914	4	4	28	6	7	31	23	4	42	2
ENSG00000014919	133	189	205	158	394	188	226	278	156	298
ENSG00000015133	1477	1729	1389	1178	1727	1668	1991	2048	1343	1818
ENSG00000015153	584	191	497	278	430	763	304	459	253	441
ENSG00000015171	776	524	561	644	687	841	512	635	673	652
ENSG00000015285	800	555	761	784	1251	1299	1194	1415	970	1073
ENSG00000015475	871	403	974	1506	805	1226	316	574	919	847
ENSG00000015479	3427	2411	2666	3218	2718	2830	2172	2668	2544	2522
ENSG00000015520	8	2	5	1	0	4	4	1	2	4
ENSG00000015532	42	60	58	46	133	86	116	102	74	86
ENSG00000015568	653	768	787	216	1217	1376	469	939	147	1315
ENSG00000015676	334	443	265	548	742	521	674	633	423	638
ENSG00000016391	17	17	1	34	45	16	106	3	10	32
ENSG00000016402	0	1	0	0	0	0	0	1	4	1
ENSG00000016864	172	130	95	141	155	207	160	216	170	192
ENSG00000017260	535	610	358	400	796	572	385	643	406	471
ENSG00000017427	69	9	5	8	5	8	44	10	3	3
ENSG00000017483	172	113	190	134	255	210	175	221	288	238
ENSG00000017797	806	398	491	694	941	950	384	678	474	445
ENSG00000018189	124	149	190	218	158	129	106	229	157	138
ENSG00000018236	0	2	0	10	2	1	3	10	0	13
ENSG00000018280	188	55	389	568	38	181	53	153	345	74
ENSG00000018408	56	98	75	92	62	60	81	218	38	103
ENSG00000018510	287	281	161	208	372	293	211	367	197	205
ENSG00000018610	198	195	208	159	239	230	155	188	167	134
ENSG00000018699	250	251	241	195	311	232	263	373	101	180
ENSG00000018869	52	10	37	49	72	69	30	22	11	32
ENSG00000019102	0	1	3	0	0	0	3	2	2	2
ENSG00000019144	144	72	66	97	58	103	70	111	181	92
ENSG00000019169	95	32	65	334	69	119	9	23	178	25
ENSG00000019186	0	5	0	0	0	0	2	8	0	2
ENSG00000019485	203	169	88	89	118	107	101	120	189	105
ENSG00000019505	0	3	0	0	4	0	0	4	0	1
ENSG00000019582	26383	11024	25661	36831	27958	38254	17076	24237	27486	37995
ENSG00000019991	19	0	25	23	0	18	17	0	2	14
ENSG00000019995	699	476	642	551	469	754	287	392	686	595
ENSG00000020129	157	182	207	282	1057	380	415	917	93	466
ENSG00000020181	0	0	2	3	2	5	0	1	0	0
ENSG00000020256	108	60	134	67	198	105	153	194	115	101
ENSG00000020426	18	32	72	93	51	50	39	40	41	47
ENSG00000020577	86	40	38	174	113	141	40	122	54	37
ENSG00000020633	8977	4165	9907	7436	8082	9332	7273	7992	7352	5850
ENSG00000020922	338	416	247	260	154	299	236	254	147	261
ENSG00000021300	183	19	105	225	145	127	163	277	159	201
ENSG00000021355	1146	1031	1243	1535	1345	1425	735	1042	1275	1100
ENSG00000021488	0	2	1	5	4	0	8	10	1	4
ENSG00000021574	327	322	375	251	304	395	186	331	374	228
ENSG00000021645	4	0	2	0	4	1	13	32	6	0
ENSG00000021762	5	4	228	48	20	74	72	40	276	24
ENSG00000021776	906	833	570	1008	619	966	483	536	540	460
ENSG00000021826	6	4	4	7	10	2	3	5	40	11
ENSG00000021852	6	8	4	48	2	3	8	0	27	2
ENSG00000022267	1138	667	196	299	275	447	323	737	258	437
ENSG00000022277	479	398	553	453	561	592	587	580	388	652
ENSG00000022556	30	40	129	141	106	29	45	152	178	113
ENSG00000022567	216	160	284	200	355	255	134	186	231	144
ENSG00000022840	2461	1887	2038	2532	3522	2934	2129	2532	2062	2334
ENSG00000022976	66	58	69	147	145	136	130	157	52	193
ENSG00000023041	576	717	537	848	629	779	609	850	513	700
ENSG00000023171	2985	1201	1638	1647	1757	2002	1122	1828	1348	1552
ENSG00000023191	384	247	386	596	431	678	416	551	300	280
ENSG00000023228	417	347	350	406	396	562	406	531	361	353
ENSG00000023287	792	452	1070	695	790	1458	250	386	580	495
ENSG00000023318	862	609	1042	936	767	988	533	663	857	758
ENSG00000023330	344	283	441	284	322	546	343	609	535	480
ENSG00000023445	3618	5836	9738	6755	11920	6948	6232	8409	7106	7343
ENSG00000023516	322	876	537	741	1342	877	867	890	594	900
ENSG00000023572	24	50	98	35	70	77	69	26	53	84
ENSG00000023608	31	58	29	34	49	59	17	21	39	41
ENSG00000023697	208	99	86	149	166	164	129	150	88	207
ENSG00000023734	1392	1143	1091	1411	1287	1578	772	882	1051	1115
ENSG00000023839	60	7	27	12	32	184	22	33	97	39
ENSG00000023892	381	404	374	372	910	663	996	992	561	755
ENSG00000023902	2100	942	1196	1660	1032	1750	1196	1528	1532	1469
ENSG00000023909	325	400	399	349	235	268	164	154	260	313
ENSG00000024048	891	898	807	717	997	846	665	952	592	644
ENSG00000024422	9	5	42	29	4	2	37	8	0	0
ENSG00000024526	0	15	3	26	0	8	8	8	2	8
ENSG00000024862	57	156	131	119	209	131	99	169	102	153
ENSG00000025039	209	84	212	281	289	218	94	99	112	135
ENSG00000025156	178	199	203	309	263	178	189	285	266	166
ENSG00000025293	1534	1442	925	1239	1343	1752	1071	1064	1337	1098
ENSG00000025423	2	1	2	0	16	24	26	2	0	2
ENSG00000025434	102	44	27	120	22	48	54	51	92	59
ENSG00000025708	268	208	456	621	610	353	223	479	308	350
ENSG00000025770	379	222	273	325	403	498	315	351	482	364
ENSG00000025772	196	169	162	242	382	298	299	381	197	262
ENSG00000025796	585	541	741	851	628	781	600	753	511	557
ENSG00000025800	1725	1309	1293	1593	1620	1657	1239	1850	1034	1399
ENSG00000026025	62828	16528	26981	32626	22389	43530	22905	18454	41623	20351
ENSG00000026036	60	48	45	5	49	39	28	84	30	19
ENSG00000026103	1863	2355	1753	803	2329	1577	1714	2702	1243	1971
ENSG00000026297	1763	1144	1213	2314	2047	1823	959	1478	1793	2366
ENSG00000026508	49716	19744	22018	22390	25988	34786	23019	23661	27455	20931
ENSG00000026652	847	351	860	729	439	826	311	133	871	327
ENSG00000026751	498	330	1249	1428	2177	984	228	1081	829	1711
ENSG00000026950	1318	1373	2080	1859	3038	2700	2731	3405	1822	2288
ENSG00000027001	45	30	37	34	43	58	80	41	32	69
ENSG00000027075	3913	4277	3324	2653	5597	3966	3711	6220	3036	4294
ENSG00000027644	0	1	0	0	2	3	3	17	0	4
ENSG00000027697	1136	1131	1297	1189	1000	1447	655	767	929	725
ENSG00000027847	54	51	52	49	94	61	119	114	63	84
ENSG00000027869	2213	1325	2152	2447	3238	3147	2855	2841	1983	2012
ENSG00000028116	154	195	269	260	211	304	141	186	214	237
ENSG00000028137	10482	5140	7800	8918	9022	10675	7765	6426	9843	7713
ENSG00000028203	532	960	548	524	539	363	446	523	409	490
ENSG00000028277	157	304	242	638	491	1071	1012	719	769	621
ENSG00000028310	959	471	337	909	612	811	517	378	595	396
ENSG00000028528	2420	901	1321	1340	1388	2058	1119	1043	1066	981
ENSG00000028839	401	222	317	188	261	415	205	274	191	279
ENSG00000029153	87	84	24	44	340	139	70	126	301	55
ENSG00000029363	3513	3575	3337	3164	3146	3645	2402	3135	2492	2952
ENSG00000029364	555	491	775	827	854	1095	553	790	714	781
ENSG00000029534	22	82	8	47	299	37	84	163	112	233
ENSG00000029639	17	67	17	16	41	52	61	37	40	43
ENSG00000029725	489	478	528	523	646	458	390	364	536	417
ENSG00000029993	72	48	83	71	43	77	73	73	74	78
ENSG00000030066	486	577	707	1079	542	799	676	454	633	643
ENSG00000030110	368	347	420	422	510	543	598	556	428	538
ENSG00000030419	452	1889	168	332	3929	460	2034	2636	270	1646
ENSG00000030582	1122	411	1014	2589	1214	1807	630	863	1784	1361
ENSG00000031003	927	553	704	805	691	740	392	508	711	503
ENSG00000031081	469	650	877	454	399	1423	803	634	695	602
ENSG00000031691	8	19	31	26	27	11	14	15	17	15
ENSG00000031698	1082	726	975	1162	1224	1283	1026	1081	979	1095
ENSG00000031823	946	522	550	496	783	692	819	1201	749	831
ENSG00000032219	289	414	424	508	347	435	367	417	279	291
ENSG00000032389	145	155	170	232	369	265	226	265	243	312
ENSG00000032444	588	399	534	682	827	833	652	913	878	645
ENSG00000032742	41	98	51	69	78	67	59	26	36	16
ENSG00000033011	74	124	90	103	211	171	114	130	72	113
